Time(s),Value
15.897872,3.000000
19.046278,277.000000
23.399663,458.000000
27.450667,461.000000
27.900873,463.000000
28.350448,466.000000
28.801368,468.000000
29.248442,470.000000
29.699068,472.000000
30.149747,474.000000
30.599780,477.000000
31.051306,479.000000
31.501739,481.000000
31.951230,483.000000
32.401831,485.000000
32.852493,488.000000
33.302914,490.000000
33.754239,492.000000
34.204079,494.000000
34.654490,496.000000
35.104379,498.000000
35.555076,501.000000
36.003050,503.000000
36.452526,505.000000
36.903171,507.000000
37.354012,509.000000
37.804527,511.000000
38.254796,513.000000
38.705881,515.000000
39.156709,517.000000
39.158298,517.000000
48.408713,516.000000
48.859057,514.000000
48.860854,514.000000
52.160137,760.000000
55.607866,961.000000
59.061041,966.000000
59.512113,968.000000
59.962751,970.000000
60.412153,972.000000
60.864038,975.000000
61.313884,977.000000
61.764351,979.000000
62.214917,981.000000
62.665257,983.000000
63.114906,986.000000
63.562926,988.000000
64.012460,990.000000
64.463778,992.000000
64.915234,994.000000
65.365348,997.000000
65.815470,999.000000
66.266079,1001.000000
66.716600,1003.000000
67.166955,1006.000000
67.616987,1008.000000
68.068198,1010.000000
68.518728,1012.000000
68.969202,1014.000000
69.419167,1017.000000
69.869657,1019.000000
70.319721,1021.000000
70.770932,1023.000000
71.217736,1026.000000
71.668505,1028.000000
72.118661,1030.000000
72.569169,1032.000000
73.019447,1034.000000
73.020834,1034.000000
75.273112,1033.000000
75.722201,1030.000000
76.173444,1028.000000
76.625095,1026.000000
76.626431,1026.000000
84.675265,1026.000000
87.825605,1287.000000
90.827694,1485.000000
93.826077,1490.000000
94.276829,1492.000000
94.727507,1494.000000
95.177342,1496.000000
95.628572,1498.000000
96.078708,1501.000000
96.529509,1503.000000
96.980053,1505.000000
97.430682,1507.000000
97.880703,1510.000000
98.331455,1512.000000
98.781761,1514.000000
99.233415,1516.000000
99.683197,1519.000000
100.133508,1521.000000
100.584017,1523.000000
101.033880,1525.000000
101.483870,1527.000000
101.931546,1530.000000
102.383793,1532.000000
102.832719,1534.000000
103.282927,1536.000000
103.732774,1538.000000
104.184433,1540.000000
104.634475,1543.000000
105.085048,1545.000000
105.086452,1545.000000
107.337389,1543.000000
107.788468,1541.000000
108.239465,1539.000000
108.240836,1539.000000
116.286744,1539.000000
119.441415,1749.000000
122.442691,1929.000000
125.293138,1967.000000
127.542651,1970.000000
127.993779,1973.000000
128.443459,1975.000000
128.893406,1977.000000
129.344240,1979.000000
129.795010,1982.000000
130.245639,1984.000000
130.695302,1986.000000
131.146951,1988.000000
131.596611,1990.000000
132.046818,1993.000000
132.498225,1995.000000
132.948686,1997.000000
133.400151,1999.000000
133.850401,2002.000000
134.300260,2004.000000
134.750121,2006.000000
135.197464,2009.000000
135.647416,2011.000000
136.098024,2013.000000
136.549215,2015.000000
136.999749,2017.000000
137.450156,2020.000000
137.900814,2022.000000
138.352059,2024.000000
138.801930,2026.000000
139.252385,2029.000000
139.702003,2031.000000
140.153200,2033.000000
140.603653,2035.000000
141.054266,2037.000000
141.504932,2040.000000
141.955432,2042.000000
142.404712,2044.000000
142.855464,2046.000000
143.303406,2048.000000
143.754067,2051.000000
144.203819,2053.000000
144.654401,2055.000000
145.105930,2057.000000
145.555129,2059.000000
146.006578,2061.000000
146.007943,2061.000000
148.258998,2060.000000
148.709371,2058.000000
149.159939,2055.000000
149.610150,2053.000000
149.611509,2053.000000
157.510743,2053.000000
160.812222,2293.000000
164.113425,2489.000000
168.012024,2493.000000
168.463526,2495.000000
168.913343,2497.000000
169.364586,2500.000000
169.814799,2502.000000
170.265378,2504.000000
170.714995,2506.000000
171.166484,2508.000000
171.617130,2510.000000
172.067119,2513.000000
172.517523,2515.000000
172.969052,2517.000000
173.419350,2519.000000
173.869992,2521.000000
174.319964,2523.000000
174.770510,2526.000000
175.220355,2528.000000
175.667561,2530.000000
176.118510,2532.000000
176.569089,2534.000000
177.018855,2536.000000
177.469707,2538.000000
177.921059,2541.000000
178.370488,2543.000000
178.821675,2545.000000
179.272706,2547.000000
179.721421,2549.000000
180.173496,2551.000000
180.623290,2553.000000
181.073752,2555.000000
181.523832,2558.000000
181.975377,2560.000000
182.425140,2562.000000
182.875142,2564.000000
183.325937,2566.000000
183.772899,2568.000000
184.223841,2571.000000
184.227100,2571.000000
186.476160,2569.000000
