Time(s),Value
13.629850,3.000000
16.331280,17.000000
16.334458,17.000000
16.335863,17.000000
16.337198,17.000000
16.338435,17.000000
16.339859,17.000000
16.341244,17.000000
16.342580,17.000000
16.343884,18.000000
16.346707,18.000000
16.348165,18.000000
16.349449,18.000000
16.350989,18.000000
16.352419,18.000000
16.354144,18.000000
16.355408,18.000000
16.357091,18.000000
16.358316,18.000000
16.359907,18.000000
16.361295,18.000000
16.362558,18.000000
16.363866,18.000000
16.365286,18.000000
16.366534,18.000000
16.367762,18.000000
16.369057,18.000000
16.370371,18.000000
16.375022,18.000000
16.376537,18.000000
16.377863,18.000000
16.379323,18.000000
16.380888,18.000000
16.382286,18.000000
16.383690,18.000000
16.385378,18.000000
16.387011,18.000000
16.388581,18.000000
16.390241,18.000000
16.392038,18.000000
16.393557,18.000000
16.394983,18.000000
16.396498,18.000000
16.398116,18.000000
16.399467,18.000000
16.400767,18.000000
16.404517,18.000000
16.406050,18.000000
16.407431,18.000000
16.408880,18.000000
16.410781,18.000000
16.412464,19.000000
16.413859,19.000000
16.415163,19.000000
16.416445,19.000000
16.417858,19.000000
16.419119,19.000000
16.420387,19.000000
16.421904,19.000000
16.423357,19.000000
16.424895,19.000000
16.426293,19.000000
16.427728,19.000000
16.429386,19.000000
16.430906,19.000000
16.432388,19.000000
16.433784,20.000000
16.435245,20.000000
16.436745,20.000000
16.438109,20.000000
16.439557,20.000000
16.440867,20.000000
16.442415,20.000000
16.443849,20.000000
16.445090,20.000000
16.446554,20.000000
16.448068,20.000000
16.449420,20.000000
16.450834,20.000000
16.452275,21.000000
16.453777,21.000000
16.455242,21.000000
16.456709,21.000000
16.458194,21.000000
16.459525,21.000000
16.461159,21.000000
16.462675,21.000000
16.464220,21.000000
16.466080,21.000000
16.467351,21.000000
16.468845,21.000000
16.470273,21.000000
16.471641,21.000000
16.473144,21.000000
16.474560,21.000000
16.475994,21.000000
16.477345,21.000000
16.478679,21.000000
16.479991,21.000000
16.481469,21.000000
16.483030,21.000000
16.484331,21.000000
16.485700,21.000000
16.487018,21.000000
16.488446,21.000000
16.490079,21.000000
16.491663,21.000000
16.493027,22.000000
16.494271,22.000000
16.495493,22.000000
16.496712,22.000000
16.497872,22.000000
16.499138,22.000000
16.500539,22.000000
16.501961,22.000000
16.503469,22.000000
16.504794,22.000000
16.506230,22.000000
16.507620,22.000000
16.509055,22.000000
16.510903,22.000000
16.512255,23.000000
16.513613,23.000000
16.514925,23.000000
16.516467,23.000000
16.517941,23.000000
16.519422,23.000000
16.520903,23.000000
16.522345,23.000000
16.523713,23.000000
16.525227,23.000000
16.526698,23.000000
16.528188,23.000000
16.529582,24.000000
16.530921,24.000000
16.532475,24.000000
16.533904,24.000000
16.535339,24.000000
16.536667,24.000000
16.538155,24.000000
16.539715,24.000000
16.541270,24.000000
16.542726,24.000000
16.544307,24.000000
16.545987,24.000000
16.547699,24.000000
16.549183,24.000000
16.550660,24.000000
16.551963,24.000000
16.553329,24.000000
16.554757,24.000000
16.556120,24.000000
16.557615,24.000000
16.559055,24.000000
16.560970,24.000000
16.562488,24.000000
16.563898,24.000000
16.565482,24.000000
16.566970,24.000000
16.568357,24.000000
16.569631,24.000000
16.571056,24.000000
16.572800,24.000000
16.574352,25.000000
16.575892,25.000000
16.577346,25.000000
16.578919,25.000000
16.580236,25.000000
16.581819,25.000000
16.583223,25.000000
16.584679,25.000000
16.586236,25.000000
16.587678,25.000000
16.589066,25.000000
16.590381,25.000000
16.591713,25.000000
16.593012,25.000000
16.594307,25.000000
16.595657,26.000000
16.597284,26.000000
16.598604,26.000000
16.599929,26.000000
16.601496,26.000000
16.602958,26.000000
16.604325,26.000000
16.605662,26.000000
16.607169,26.000000
16.608657,26.000000
16.609969,27.000000
16.611326,27.000000
16.612667,27.000000
16.614060,27.000000
16.615642,27.000000
16.616990,27.000000
16.618399,27.000000
16.619723,27.000000
16.621215,27.000000
16.622731,27.000000
16.624109,27.000000
16.625667,27.000000
16.627023,27.000000
16.628545,27.000000
16.630049,27.000000
16.631650,27.000000
16.633119,27.000000
16.634448,27.000000
16.635911,27.000000
16.637375,27.000000
16.638706,27.000000
16.640230,27.000000
16.641660,27.000000
16.643101,27.000000
16.644447,27.000000
16.645903,27.000000
16.647463,27.000000
16.650275,27.000000
16.651855,27.000000
16.653415,28.000000
16.654853,28.000000
16.656255,28.000000
16.657704,28.000000
16.659065,28.000000
16.660675,28.000000
16.662234,28.000000
16.663795,28.000000
16.665256,28.000000
16.666543,28.000000
16.667958,28.000000
16.669292,28.000000
16.670622,28.000000
16.672080,28.000000
16.673503,28.000000
16.675244,28.000000
16.676794,28.000000
16.678138,28.000000
16.679572,29.000000
16.680938,29.000000
16.682451,29.000000
16.684011,29.000000
16.685307,29.000000
16.686571,29.000000
16.688001,29.000000
16.689310,29.000000
16.690949,29.000000
16.692554,29.000000
16.694023,29.000000
16.695413,30.000000
16.696780,30.000000
16.698205,30.000000
16.699831,30.000000
16.701311,30.000000
16.702796,30.000000
16.704150,30.000000
16.705530,30.000000
16.706963,30.000000
16.708438,30.000000
16.709839,30.000000
16.711187,30.000000
16.712753,31.000000
16.714111,31.000000
16.715361,31.000000
16.716980,31.000000
16.718450,31.000000
16.719868,31.000000
16.721465,31.000000
16.722986,31.000000
16.724488,31.000000
16.725837,31.000000
16.727421,31.000000
16.728893,31.000000
16.730292,31.000000
16.731932,31.000000
16.733224,31.000000
16.734783,31.000000
16.736262,31.000000
16.737925,31.000000
16.739454,31.000000
16.740799,31.000000
16.742317,31.000000
16.743589,31.000000
16.745023,31.000000
16.746407,31.000000
16.748261,31.000000
16.749700,31.000000
16.751114,31.000000
16.752641,31.000000
16.753963,31.000000
16.755322,31.000000
16.756836,31.000000
16.758400,31.000000
16.759889,31.000000
16.761412,32.000000
16.763012,32.000000
16.764340,32.000000
16.765752,32.000000
16.767095,32.000000
16.768544,32.000000
16.770102,32.000000
16.771808,32.000000
16.773386,32.000000
16.774773,33.000000
16.776312,33.000000
16.777646,33.000000
16.779080,33.000000
16.780387,33.000000
16.781748,33.000000
16.783364,33.000000
16.784720,33.000000
16.786123,33.000000
16.787455,33.000000
16.789075,33.000000
16.790682,33.000000
16.792082,33.000000
16.793774,33.000000
16.795182,33.000000
16.796674,33.000000
16.798069,33.000000
16.799463,34.000000
16.800981,34.000000
16.802306,34.000000
16.803678,34.000000
16.804977,34.000000
16.806380,34.000000
16.807902,34.000000
16.809648,34.000000
16.811298,34.000000
16.812698,34.000000
16.814180,34.000000
16.815629,34.000000
16.817019,34.000000
16.818593,34.000000
16.820064,34.000000
16.821435,34.000000
16.822730,34.000000
16.824277,34.000000
16.825784,34.000000
16.827195,34.000000
16.828588,34.000000
