time_s,magnetic_raw_mm,magnetic_raw_filtered,magnetic_filtered_mm,posic_encoder_mm,posic_encoder_filtered,keyence_mm
0.0,2759.0,2759.0,2042.2700000000004,0.0077046728210156245,0.0,-0.0
0.005,2761.0,2761.0,2089.3600000000006,0.0077046728210156245,0.0015264987439115628,-0.0
0.01,2760.0,2760.0,2131.8499999999985,0.0077046728210156245,0.0027505578554992685,-0.0
0.016,2760.0,2760.0,2176.8300000000017,0.0077046728210156245,0.0037320985967785737,1.0000000000065512e-05
0.022,2760.0,2760.0,2219.4000000000015,0.0077046728210156245,0.004519170248523798,1.0000000000065512e-05
0.028,2761.0,2761.0,2255.540000000001,0.0077046728210156245,0.005150302262640242,1.0000000000065512e-05
0.033,2759.0,2759.0,2289.2299999999996,0.0077046728210156245,0.00565639039115998,2.0000000000131024e-05
0.039,2759.0,2759.0,2320.4300000000003,0.0077046728210156245,0.006062209123374308,2.0000000000131024e-05
0.044,2761.0,2761.0,2348.8499999999985,0.007686328361917967,0.006385807208900281,1.0000000000065512e-05
0.049,2760.0,2760.0,2371.4000000000015,0.007686328361917967,0.006643474724787116,1.0000000000065512e-05
0.053,2761.0,2761.0,2392.84,0.007686328361917967,0.006850091514902026,2.0000000000131024e-05
0.058,2761.0,2761.0,2412.619999999999,0.007686328361917967,0.007015772073471692,2.0000000000131024e-05
0.062,2760.0,2760.0,2431.34,0.007686328361917967,0.007148626946847133,2.9999999999752447e-05
0.066,2761.0,2761.0,2449.1100000000006,0.007686328361917967,0.007255159768392291,2.0000000000131024e-05
0.071,2760.0,2760.0,2465.709999999999,0.007686328361917967,0.007340585630297261,2.0000000000131024e-05
0.075,2758.0,2758.0,2481.5499999999993,0.007686328361917967,0.007409086377544563,2.9999999999752447e-05
0.08,2761.0,2761.0,2496.6500000000015,0.007686328361917967,0.007464015321412391,2.0000000000131024e-05
0.085,2761.0,2761.0,2513.1399999999994,0.007686328361917967,0.007508061393837589,1.0000000000065512e-05
0.09,2760.0,2760.0,2528.369999999999,0.007667983902820311,0.007541563518063603,2.0000000000131024e-05
0.095,2759.0,2759.0,2543.8300000000017,0.007667983902820311,0.007566610728116383,1.0000000000065512e-05
0.1,2760.0,2760.0,2557.459999999999,0.007667983902820311,0.007586695425733883,1.0000000000065512e-05
0.105,2759.0,2759.0,2569.7700000000004,0.007667983902820311,0.007602800815417459,1.0000000000065512e-05
0.111,2760.0,2760.0,2581.5699999999997,0.007667983902820311,0.007615715302944213,2.0000000000131024e-05
0.116,2761.0,2761.0,2592.6500000000015,0.007667983902820311,0.007626071090128224,2.9999999999752447e-05
0.121,2761.0,2761.0,2604.16,0.007649639443722656,0.00763255786253299,2.9999999999752447e-05
0.126,2761.0,2761.0,2613.84,0.007649639443722656,0.0076359421739548745,2.9999999999752447e-05
0.131,2759.0,2759.0,2622.779999999999,0.007649639443722656,0.007638655964089934,2.9999999999752447e-05
0.137,2761.0,2761.0,2632.1100000000006,0.007649639443722656,0.0076408320808768,3.999999999981796e-05
0.142,2760.0,2760.0,2640.0999999999985,0.007649639443722656,0.0076425770515762305,3.999999999981796e-05
0.147,2760.0,2760.0,2647.709999999999,0.007649639443722656,0.00764397629759108,4.999999999988347e-05
0.152,2761.0,2761.0,2654.4900000000016,0.007649639443722656,0.007645098316093002,4.999999999988347e-05
0.157,2761.0,2761.0,2660.4199999999983,0.007649639443722656,0.0076459980331586895,3.999999999981796e-05
0.161,2761.0,2761.0,2665.8199999999997,0.007649639443722656,0.007646719492561456,3.999999999981796e-05
0.166,2759.0,2759.0,2670.8100000000013,0.007649639443722656,0.007647298011842339,4.999999999988347e-05
0.17,2759.0,2759.0,2675.709999999999,0.007631294984625,0.007645944650797278,4.999999999988347e-05
0.175,2759.0,2759.0,2680.279999999999,0.007631294984625,0.007643042165833905,3.999999999981796e-05
0.179,2760.0,2760.0,2684.540000000001,0.007631294984625,0.007640714739637301,4.999999999988347e-05
0.184,2760.0,2760.0,2688.9300000000003,0.007631294984625,0.00763884843790999,4.999999999988347e-05
0.189,2760.0,2760.0,2693.3600000000006,0.007631294984625,0.007637351899741584,3.999999999981796e-05
0.194,2760.0,2760.0,2697.3600000000006,0.007631294984625,0.007636151865225876,3.999999999981796e-05
0.199,2761.0,2761.0,2701.5099999999984,0.007631294984625,0.0076351895891748605,3.999999999981796e-05
0.204,2760.0,2760.0,2705.2700000000004,0.007631294984625,0.007634417965370514,3.999999999981796e-05
0.21,2761.0,2761.0,2708.8100000000013,0.007631294984625,0.007633799220578096,4.999999999988347e-05
0.215,2760.0,2760.0,2712.09,0.007631294984625,0.007633303065436189,4.999999999988347e-05
0.22,2760.0,2760.0,2715.279999999999,0.0073377836390625,0.007603829045153455,4.999999999988347e-05
0.226,2774.0,2774.0,2718.66,0.005393270974710937,0.007358488835132893,0.00017999999999984695
0.231,2784.0,2784.0,2722.41,0.0020178905007421873,0.006634751467972362,0.0009699999999996933
0.236,2795.0,2795.0,2726.9300000000003,-0.0021646461735234375,0.0053056942587972385,0.002429999999999932
0.241,2805.0,2805.0,2731.380000000001,-0.006860827702523438,0.0033604042721481777,0.004209999999999825
0.247,2814.0,2814.0,2736.3499999999985,-0.012088998545355467,0.0008173896188340274,0.006510000000000016
