time_s,magnetic_raw_mm,posic_encoder_mm,posic_encoder_filtered,keyence_mm
0.0,-17842.0,0,0.0,-0.0
0.005,-17843.0,0,0.0,-1.0000000000065512e-05
0.01,-17842.0,-1,-0.0990631775919033,-0.0
0.014,-17844.0,-1,-0.27756250646649994,-1.0000000000065512e-05
0.02,-17843.0,-1,-0.42069641390841717,-1.0000000000065512e-05
0.024,-17843.0,0,-0.43640854437374765,-1.0000000000065512e-05
0.028,-17843.0,0,-0.34994451010590644,-1.0000000000065512e-05
0.033,-17842.0,0,-0.28061127980204037,-1.0000000000065512e-05
0.037,-17843.0,0,-0.22501478971139874,-1.0000000000065512e-05
0.041,-17843.0,0,-0.18043342956342856,-1.0000000000065512e-05
0.046,-17843.0,0,-0.14468481181071233,-1.0000000000065512e-05
0.05,-17843.0,0,-0.11601893739620091,-1.0000000000065512e-05
0.055,-17845.0,0,-0.09303252819759338,-1.0000000000065512e-05
0.059,-17842.0,0,-0.07460033247226948,-1.0000000000065512e-05
0.064,-17844.0,0,-0.059820040504038545,-0.0
0.068,-17845.0,0,-0.0479681139120257,-0.0
0.073,-17844.0,0,-0.0384643663375944,-0.0
0.077,-17843.0,0,-0.03084356163067211,-1.0000000000065512e-05
0.081,-17844.0,0,-0.024732639183899934,-1.0000000000065512e-05
0.086,-17843.0,0,-0.01983245152831764,-1.0000000000065512e-05
0.09,-17841.0,0,-0.01590312019265255,-1.0000000000065512e-05
0.095,-17844.0,0,-0.012752292952832303,-1.0000000000065512e-05
0.099,-17841.0,0,-0.010225727629851494,-1.0000000000065512e-05
0.104,-17844.0,0,-0.00819974148544667,-1.0000000000065512e-05
0.108,-17842.0,0,-0.006575156591485669,-1.0000000000065512e-05
0.113,-17843.0,0,-0.005272444781251832,-1.0000000000065512e-05
0.117,-17843.0,0,-0.004227834513834523,-1.0000000000065512e-05
0.122,-17844.0,0,-0.0033901890712881876,-1.0000000000065512e-05
0.126,-17843.0,0,-0.002718503267209884,-1.0000000000065512e-05
0.131,-17846.0,0,-0.0021798961233223195,-1.0000000000065512e-05
0.135,-17843.0,0,-0.0017480012497291583,-2.0000000000131024e-05
0.14,-17843.0,11,1.0882932773776728,-1.0000000000065512e-05
0.144,-17854.0,112,13.057444540763901,4.0000000000040004e-05
0.148,-17863.0,282,49.501312617097554,0.0005100000000000104
0.153,-17872.0,485,115.67525518444768,0.0012699999999998823
0.157,-17879.0,719,212.02900431044787,0.0022799999999998377
0.162,-17884.0,968,337.1400510907081,0.0036199999999999566
0.166,-17892.0,1243,489.3724072373219,0.005199999999999871
0.171,-17902.0,1506,664.739511064008,0.007120000000000015
0.175,-17911.0,1772,857.7661907364893,0.009239999999999915
0.18,-17918.0,2039,1065.3498715687142,0.011639999999999873
0.184,-17927.0,2305,1284.6064279784964,0.01429999999999998
0.189,-17936.0,2571,1513.1240924955482,0.017229999999999857
0.193,-17945.0,2836,1748.9689323480213,0.020610000000000017
0.198,-17951.0,3095,1989.9957987497726,0.02383999999999986
0.202,-17959.0,3349,2234.0883007146167,0.02696999999999994
0.207,-17968.0,3593,2479.153107378238,0.030299999999999994
0.211,-17976.0,3826,2722.9172528251097,0.03344999999999998
0.215,-17985.0,4062,2964.8459269007,0.03656999999999999
0.22,-17995.0,4289,3204.7084057922934,0.03970999999999991
0.224,-18003.0,4516,3442.022488622467,0.042850000000000055
0.229,-18010.0,4739,3676.8968271040667,0.04610000000000003
0.233,-18019.0,4950,3908.2297880509855,0.049229999999999885
0.238,-18026.0,5157,4135.138000845029,0.052509999999999835
0.242,-18036.0,5359,4357.606556112005,0.05559999999999987
0.246,-18042.0,5557,4575.623498417689,0.05868999999999991
0.251,-18051.0,5749,4789.080177836872,0.06180999999999992
0.255,-18061.0,5939,4998.087597213202,0.06486999999999998
0.26,-18067.0,6134,5203.824461755008,0.06793000000000005
0.264,-18078.0,6319,5406.443438683124,0.07103999999999999
0.269,-18088.0,6502,5605.373505575222,0.07423000000000002
0.273,-18093.0,6683,5800.949280020971,0.07728999999999986
0.278,-18100.0,6861,5993.340019869027,0.08050999999999986
0.282,-18112.0,7032,6182.186132639446,0.08357999999999999
0.286,-18119.0,7202,6367.3973969548715,0.08660999999999985
0.291,-18127.0,7371,6549.495845736151,0.08967999999999998
0.295,-18136.0,7541,6729.098209779425,0.09287999999999985
0.3,-18144.0,7705,6906.203713368106,0.09590999999999994
0.304,-18153.0,7870,7080.811734475506,0.09897
0.309,-18161.0,8032,7253.218963847591,0.10202999999999984
0.313,-18168.0,8197,7423.8614363294,0.1050899999999999
0.318,-18176.0,8371,7594.27755490249,0.10829999999999984
0.322,-18186.0,8529,7763.818723998634,0.11182000000000003
0.327,-18193.0,8685,7930.875156972014,0.11488999999999994
0.331,-18201.0,8841,8095.741019179045,0.11797999999999997
0.336,-18211.0,9008,8259.940015374945,0.12121999999999988
0.341,-18220.0,9163,8423.505206114305,0.12458999999999998
0.345,-18229.0,9318,8585.373406831022,0.12783999999999995
0.35,-18235.0,9470,8745.58364644029,0.13095999999999997
0.354,-18243.0,9621,8904.068158022996,0.13405999999999985
0.358,-18250.0,9773,9061.16885378308,0.13717999999999986
0.363,-18259.0,9924,9217.159904105725,0.14030999999999993
0.367,-18265.0,10087,9373.35085395051,0.14341999999999988
0.372,-18274.0,10237,9529.603034776115,0.14697000000000005
0.377,-18281.0,10398,9685.706188756305,0.15008999999999983
0.381,-18289.0,10562,9843.076726523072,0.15332999999999997
0.386,-18297.0,10715,10000.671040525427,0.15686
0.391,-18306.0,10871,10157.652289372701,0.16025999999999985
0.395,-18314.0,11019,10313.646621541602,0.16337000000000002
0.4,-18321.0,11173,10468.651444881301,0.16649000000000003
0.404,-18328.0,11323,10623.060933524734,0.16974999999999985
