time_s,magnetic_raw_mm,magnetic_filtered_mm,posic_encoder_mm,keyence_mm
0.0,0.0,0.0,0.0,0.0
0.006,0.0,-0.023560855789698465,0.0,-1.0000000000065512e-05
0.011,0.0,-0.040877104802094166,-1.9531250000037748e-05,-1.0000000000065512e-05
0.016,0.00048828125,-0.05834832945713586,-1.9531250000037748e-05,-1.999999999990898e-05
0.022,0.0,-0.0767357336466592,-3.9062500000019984e-05,-1.999999999990898e-05
0.027,0.0,-0.09125786298424554,-3.9062500000019984e-05,-2.999999999997449e-05
0.032,0.0,-0.10323201043240626,-3.9062500000019984e-05,-2.999999999997449e-05
0.036,0.00048828125,-0.11457713909569822,-3.9062500000019984e-05,-2.999999999997449e-05
0.041,0.0,-0.12655584465099512,-5.859375000000222e-05,-2.999999999997449e-05
0.045,0.0,-0.136565447923231,-7.812500000003997e-05,-4.0000000000040004e-05
0.05,0.00048828125,-0.14607365941042438,-7.812500000003997e-05,-4.0000000000040004e-05
0.054,0.0,-0.15504401425548675,-7.812500000003997e-05,-4.0000000000040004e-05
0.059,0.00048828125,-0.1637773475294404,-7.812500000003997e-05,-4.0000000000040004e-05
0.063,0.0,-0.17192724308989416,-7.812500000003997e-05,-4.0000000000040004e-05
0.068,0.0,-0.1795256076868048,-9.76562500000222e-05,-5.0000000000105516e-05
0.072,0.00048828125,-0.18666360346290656,-9.76562500000222e-05,-5.0000000000105516e-05
0.076,-0.00048828125,-0.19336857906101912,-9.76562500000222e-05,-5.0000000000105516e-05
0.081,0.00048828125,-0.19973169662387846,-9.76562500000222e-05,-5.999999999994898e-05
0.085,0.0,-0.20580309532998786,-0.00011718750000000444,-5.0000000000105516e-05
0.089,0.0,-0.21153719410798022,-0.00011718750000000444,-5.999999999994898e-05
0.094,0.00048828125,-0.21696589970781233,-0.00011718750000000444,-5.999999999994898e-05
0.098,0.00048828125,-0.22209377023662125,-0.00011718750000000444,-7.00000000000145e-05
0.102,0.0,-0.22708945565846417,-0.00011718750000000444,-7.00000000000145e-05
0.107,-0.00048828125,-0.2322310005086825,-0.00011718750000000444,-8.000000000008001e-05
0.112,-0.00048828125,-0.23694864139518756,-0.0001367187500000422,-8.999999999992347e-05
0.117,0.0,-0.24200814031694495,-0.0001367187500000422,-8.999999999992347e-05
0.123,0.0,-0.24724084730989748,-0.0001367187500000422,-8.999999999992347e-05
0.129,0.0,-0.25204509223199967,-0.0001367187500000422,-8.999999999992347e-05
0.135,-0.00048828125,-0.2562750156548743,-0.00015625000000002442,-9.999999999998899e-05
0.14,0.00048828125,-0.2596753635788671,-0.00017578125000000666,-0.0001100000000000545
0.145,0.00048828125,-0.2626335751105966,-0.00017578125000000666,-0.0001100000000000545
0.15,0.0,-0.26603848114172646,-0.00017578125000000666,-0.0001100000000000545
0.155,0.0,-0.2688553913522185,-0.00017578125000000666,-0.0001100000000000545
0.159,0.00048828125,-0.2712438394918584,-0.00019531250000001665,-0.0001100000000000545
0.165,0.0,-0.27433423613055474,-0.00019531250000001665,-0.00011999999999989797
0.171,0.0,-0.27694603151989483,-0.00019531250000001665,-0.0001100000000000545
