magnetic_wrapped,mag_error_LUT,mag_segment_bkwd
3503,-58,0
3504,-58,0
3505,-58,0
3506,-58,0
3507,-58,0
3508,-57,0
3509,-58,0
3510,-58,0
3511,-57,0
3512,-56,0
3513,-55,0
3514,-55,0
3515,-55,0
3516,-55,0
3517,-54,0
3518,-54,0
3519,-54,0
3520,-53,0
3521,-53,0
3522,-52,0
3523,-52,0
3524,-52,0
3525,-51,0
3526,-51,0
3527,-51,0
3528,-51,0
3529,-51,0
3530,-51,0
3531,-50,0
3532,-50,0
3533,-50,0
3534,-50,0
3535,-50,0
3536,-50,0
3537,-50,0
3538,-50,0
3539,-50,0
3540,-50,0
3541,-50,0
3542,-50,0
3543,-50,0
3544,-51,0
3545,-51,0
3546,-51,0
3547,-51,0
3548,-51,0
3549,-51,0
3550,-51,0
3551,-51,0
3552,-51,0
3553,-51,0
3554,-51,0
3555,-51,0
3556,-50,0
3557,-50,0
3558,-50,0
3559,-50,0
3560,-50,0
3561,-50,0
3562,-50,0
3563,-50,0
3564,-50,0
3565,-50,0
3566,-50,0
3567,-50,0
3568,-50,0
3569,-50,0
3570,-50,0
3571,-50,0
3572,-50,0
3573,-50,0
3574,-50,0
3575,-50,0
3576,-50,0
3577,-50,0
3578,-50,0
3579,-50,0
3580,-50,0
3581,-50,0
3582,-50,0
3583,-50,0
3584,-50,0
3585,-50,0
3586,-50,0
3587,-50,0
3588,-50,0
3589,-50,0
3590,-50,0
3591,-50,0
3592,-50,0
3593,-50,0
3594,-50,0
3595,-50,0
3596,-50,0
3597,-50,0
3598,-50,0
3599,-50,0
3600,-50,0
3601,-50,0
3602,-50,0
3603,-50,0
3604,-50,0
3605,-50,0
3606,-50,0
3607,-50,0
3608,-50,0
3609,-50,0
3610,-50,0
3611,-50,0
3612,-50,0
3613,-50,0
3614,-50,0
3615,-50,0
3616,-50,0
3617,-50,0
3618,-50,0
3619,-50,0
3620,-50,0
3621,-50,0
3622,-50,0
3623,-50,0
3624,-50,0
3625,-50,0
3626,-50,0
3627,-50,0
3628,-50,0
3629,-50,0
3630,-50,0
3631,-50,0
3632,-50,0
3633,-50,0
3634,-50,0
3635,-50,0
3636,-50,0
3637,-50,0
3638,-50,0
3639,-50,0
3640,-50,0
3641,-50,0
3642,-50,0
3643,-50,0
3644,-50,0
3645,-50,0
3646,-50,0
3647,-50,0
3648,-50,0
3649,-50,0
3650,-50,0
3651,-50,0
3652,-50,0
3653,-50,0
3654,-50,0
3655,-50,0
3656,-50,0
3657,-50,0
3658,-50,0
3659,-50,0
3660,-50,0
3661,-50,0
3662,-50,0
3663,-50,0
3664,-50,0
3665,-50,0
3666,-50,0
3667,-50,0
3668,-50,0
3669,-50,0
3670,-50,0
3671,-50,0
3672,-50,0
3673,-50,0
3674,-50,0
3675,-50,0
3676,-50,0
3677,-50,0
3678,-50,0
3679,-50,0
3680,-50,0
3681,-50,0
3682,-50,0
3683,-50,0
3684,-50,0
3685,-50,0
3686,-50,0
3687,-50,0
3688,-50,0
3689,-50,0
3690,-50,0
3691,-50,0
3692,-50,0
3693,-50,0
3694,-50,0
3695,-50,0
3696,-49,0
3697,-49,0
3698,-49,0
3699,-49,0
3700,-49,0
3701,-49,0
3702,-49,0
3703,-49,0
3704,-49,0
3705,-49,0
3706,-49,0
3707,-49,0
3708,-49,0
3709,-49,0
3710,-49,0
3711,-49,0
3712,-49,0
3713,-49,0
3714,-49,0
3715,-49,0
3716,-49,0
3717,-49,0
3718,-49,0
3719,-49,0
3720,-49,0
3721,-49,0
3722,-49,0
3723,-49,0
3724,-49,0
3725,-49,0
3726,-49,0
3727,-49,0
3728,-50,0
3729,-50,0
3730,-50,0
3731,-50,0
3732,-50,0
3733,-50,0
3734,-50,0
3735,-50,0
3736,-50,0
3737,-50,0
3738,-50,0
3739,-50,0
3740,-50,0
3741,-50,0
3742,-50,0
3743,-50,0
3744,-50,0
3745,-50,0
3746,-50,0
3747,-50,0
3748,-50,0
3749,-50,0
3750,-50,0
3751,-50,0
3752,-50,0
3753,-50,0
3754,-50,0
3755,-50,0
3756,-50,0
3757,-50,0
3758,-50,0
3759,-50,0
3760,-50,0
3761,-50,0
3762,-50,0
3763,-50,0
3764,-50,0
3765,-50,0
3766,-50,0
3767,-50,0
3768,-50,0
3769,-50,0
3770,-50,0
3771,-50,0
3772,-50,0
3773,-50,0
3774,-50,0
3775,-50,0
3776,-50,0
3777,-50,0
3778,-50,0
3779,-50,0
3780,-50,0
3781,-50,0
3782,-50,0
3783,-50,0
3784,-50,0
3785,-50,0
3786,-50,0
3787,-50,0
3788,-50,0
3789,-50,0
3790,-50,0
3791,-50,0
3792,-50,0
3793,-50,0
3794,-50,0
3795,-50,0
3796,-50,0
3797,-50,0
3798,-50,0
3799,-50,0
3800,-50,0
3801,-50,0
3802,-50,0
3803,-50,0
3804,-50,0
3805,-50,0
3806,-50,0
3807,-50,0
3808,-50,0
3809,-50,0
3810,-50,0
3811,-50,0
3812,-50,0
3813,-50,0
3814,-50,0
3815,-50,0
3816,-50,0
3817,-50,0
3818,-50,0
3819,-50,0
3820,-50,0
3821,-50,0
3822,-50,0
3823,-50,0
3824,-50,0
3825,-50,0
3826,-50,0
3827,-50,0
3828,-50,0
3829,-50,0
3830,-50,0
3831,-50,0
3832,-50,0
3833,-50,0
3834,-50,0
3835,-50,0
3836,-50,0
3837,-50,0
3838,-50,0
3839,-50,0
3840,-50,0
3841,-50,0
3842,-50,0
3843,-50,0
3844,-50,0
3845,-50,0
3846,-50,0
3847,-50,0
3848,-50,0
3849,-49,0
3850,-49,0
3851,-49,0
3852,-49,0
3853,-49,0
3854,-49,0
3855,-49,0
3856,-49,0
