magnetic_wrapped,mag_error_LUT,mag_segment_bkwd
3,4,0
4,4,0
5,4,0
6,4,0
7,4,0
8,4,0
9,4,0
10,4,0
11,4,0
12,3,0
13,3,0
14,3,0
15,3,0
16,3,0
17,3,0
18,3,0
19,3,0
20,3,0
21,2,0
22,2,0
23,2,0
24,2,0
25,2,0
26,2,0
27,2,0
28,2,0
29,2,0
30,2,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,0,0
42,0,0
43,1,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,-1,0
58,-1,0
59,-1,0
60,-1,0
61,-1,0
62,-1,0
63,-1,0
64,-1,0
65,-1,0
66,-1,0
67,-2,0
68,-2,0
69,-2,0
70,-2,0
71,-2,0
72,-2,0
73,-2,0
74,-2,0
75,-2,0
76,-2,0
77,-2,0
78,-2,0
79,-2,0
80,-2,0
81,-3,0
82,-3,0
83,-3,0
84,-3,0
85,-3,0
86,-3,0
87,-3,0
88,-3,0
89,-3,0
90,-3,0
91,-3,0
92,-3,0
93,-3,0
94,-3,0
95,-4,0
96,-4,0
97,-4,0
98,-4,0
99,-4,0
100,-4,0
101,-4,0
102,-4,0
103,-4,0
104,-4,0
105,-4,0
106,-4,0
107,-4,0
108,-4,0
109,-5,0
110,-5,0
111,-5,0
112,-5,0
113,-5,0
114,-5,0
115,-5,0
116,-5,0
117,-5,0
118,-5,0
119,-5,0
120,-5,0
121,-5,0
122,-6,0
123,-6,0
124,-6,0
125,-6,0
126,-6,0
127,-6,0
128,-6,0
129,-6,0
130,-6,0
131,-6,0
132,-6,0
133,-6,0
134,-6,0
135,-7,0
136,-7,0
137,-7,0
138,-7,0
139,-7,0
140,-7,0
141,-7,0
142,-7,0
143,-7,0
144,-7,0
145,-7,0
146,-7,0
147,-8,0
148,-8,0
149,-8,0
150,-8,0
151,-8,0
152,-8,0
153,-8,0
154,-8,0
155,-8,0
156,-8,0
157,-8,0
158,-8,0
159,-8,0
160,-8,0
161,-9,0
162,-9,0
163,-9,0
164,-9,0
165,-9,0
166,-9,0
167,-9,0
168,-9,0
169,-10,0
170,-10,0
171,-10,0
172,-10,0
173,-10,0
174,-10,0
175,-10,0
176,-10,0
177,-10,0
178,-10,0
179,-10,0
180,-10,0
181,-10,0
182,-10,0
183,-11,0
184,-11,0
185,-11,0
186,-11,0
187,-11,0
188,-11,0
189,-11,0
190,-11,0
191,-11,0
192,-11,0
193,-11,0
194,-11,0
195,-11,0
196,-11,0
197,-11,0
198,-11,0
199,-11,0
200,-11,0
201,-12,0
202,-12,0
203,-12,0
204,-12,0
205,-12,0
206,-12,0
207,-12,0
208,-12,0
209,-12,0
210,-12,0
211,-12,0
212,-12,0
213,-12,0
214,-12,0
215,-12,0
216,-12,0
217,-13,0
218,-13,0
219,-13,0
220,-13,0
221,-13,0
222,-13,0
223,-13,0
224,-13,0
225,-13,0
226,-13,0
227,-13,0
228,-13,0
229,-13,0
230,-13,0
231,-13,0
232,-13,0
233,-14,0
234,-14,0
235,-14,0
236,-14,0
237,-14,0
238,-14,0
239,-14,0
240,-14,0
241,-14,0
242,-14,0
243,-14,0
244,-14,0
245,-15,0
246,-14,0
247,-14,0
248,-15,0
249,-15,0
250,-15,0
251,-15,0
252,-15,0
253,-15,0
254,-15,0
255,-15,0
256,-15,0
257,-15,0
258,-16,0
259,-16,0
260,-16,0
261,-16,0
262,-16,0
263,-16,0
264,-16,0
265,-16,0
266,-16,0
267,-16,0
268,-16,0
269,-16,0
270,-16,0
271,-16,0
272,-16,0
273,-16,0
274,-16,0
275,-16,0
276,-17,0
277,-17,0
278,-17,0
279,-17,0
280,-17,0
281,-17,0
282,-17,0
283,-17,0
284,-17,0
285,-17,0
286,-17,0
287,-17,0
288,-17,0
289,-17,0
290,-17,0
291,-18,0
292,-18,0
293,-18,0
294,-18,0
295,-18,0
296,-18,0
297,-18,0
298,-18,0
299,-18,0
300,-18,0
301,-18,0
302,-18,0
303,-18,0
304,-18,0
305,-18,0
306,-18,0
307,-18,0
308,-18,0
309,-18,0
310,-18,0
311,-19,0
312,-19,0
313,-19,0
314,-19,0
315,-19,0
316,-19,0
317,-19,0
318,-19,0
319,-19,0
320,-19,0
321,-19,0
322,-19,0
323,-19,0
324,-19,0
325,-19,0
326,-19,0
327,-19,0
328,-19,0
329,-19,0
330,-19,0
331,-19,0
332,-19,0
333,-19,0
334,-19,0
335,-20,0
336,-20,0
337,-20,0
338,-20,0
339,-20,0
340,-20,0
341,-20,0
342,-20,0
343,-20,0
344,-20,0
345,-20,0
346,-20,0
347,-20,0
348,-21,0
349,-21,0
350,-21,0
351,-21,0
352,-21,0
353,-21,0
354,-21,0
355,-21,0
356,-21,0
357,-21,0
358,-21,0
359,-21,0
360,-21,0
361,-22,0
362,-22,0
363,-22,0
364,-22,0
365,-22,0
366,-22,0
367,-22,0
368,-22,0
369,-22,0
370,-22,0
371,-22,0
372,-22,0
373,-22,0
374,-22,0
